,traffic,accident,incidents,suicide,murders,attempt-to-murder,car-accident,attack
328,Pak plane crash: Pilot ignored warning about plane height from air traffic control,"Congress wants special session, but yet to get time from Governor to meet: Bhupinder Singh Hooda",Need a relook at tax on hybrid vehicles in India: Toyota,"More farmers pour into protest site at Ghazipur border, extra forces withdrawn",Jigisha murder: HC commutes death penalty to 2 to life term,"Karnataka Congress MLA suspended for a week for ""indecent"" act of removing shirt inside assembly","Will I meet Unnao rape victim's fate, if I protest against influential leaders: Class 11 schoolgirl's poser to UP police","BJP candidate Dipak Halder hospitalised, supporters allege attack by TMC"
329,"Delhi: Nearly 50,000 camera-based traffic challans in a single day","Air, water pollution disputes kept NGT busy in 2020 amid coronavirus pandemic",Sri Lanka minister asks security forces to avoid incidents that may lead to radicalisation of Muslims,"Farmers' demands valid, attempts to discredit them completely wrong: Arvind Kejriwal",Venkaiah Naidu seeks report on murder of RS staff from Haryana government,"Why does SP's name get dragged into every incident of crime, asks UP CM Yogi Adityanath","Unnao rape victim's uncle blames Kuldeep Singh Sengar, says has all evidence against him",Myanmar junta deepens violence with new air attacks in east
330,"As global traffic jams mount, cities try new ways to ease congestion: Study","Gujarat: Year of migrants' march, hospital fires, lion's roar",IndiGo's April 2 Pune incident due to engine stalling: AAIB probe,Manish Sisodia visits Ghazipur border to check arrangements made by Delhi govt for farmers,Ryan murder case: CBI opposes bail plea of 16-year-old accused,Arrested West Bengal BJP leader Rakesh Singh no stranger to controversy,SC seeks report from its secretary general on Unnao rape victim's letter,"Mamata promises action against attackers, claims has videos"
331,"Fake traffic jam, vandalised Android logo: Every time pranksters tricked Google Maps before its anniversary","Famous folk dancer Queen Harish, three other artists pass away in an accident near Jodhpur","Over 8,400 hate crime incidents reported in US in 2017: FBI","Farmer protest: At Singhu border, the mood is sombre but the protest continues",Suhaib Ilyasi killed wife fearing she may disclose his frauds: Delhi court,40 years since failed coup that reshaped Spain military,Baseball-Ventura toxicology report treated as private,Project to build nuclear-powered attack submarines set to get CCS nod
332,"Stuck in traffic snarls? It can cause higher chronic stress, sleep deprivation",59% of good samaritans face cop harassment: Report,"Combing for killers of Tinsukia incident, ULFA(I) denies responsibility","Akshay Kumar expresses grief over Kushal Punjabi's suicide, urges people suffering from depression to 'fight it out' and 'face the problem'",Ex-TV host Ilyasi held guilty of wife’s murder,Red Fort incident: Delhi court extends by 7 days police custody of Deep Sidhu,Limaye to get Rs 8 crore package at NSE; EGM called next month,"CAA an attack on Assam's culture, history; will not allow it to be implemented: Rahul Gandhi"
333,Traffic rule violations may jack up insurance premium,Railways can't be blamed for Amritsar tragedy: Piyush Goyal,"Amarinder Singh visits injured, orders magisterial inquiry into incident",Cafe Coffee Day's Siddhartha's suicide is heartbreaking for entrepreneurs: Paytm’s  Vijay Shekhar,Sarabjit murder case: Pak jail superintendent record statement,"Toolkit document case: War of words between BJP, Opposition over climate activist Disha Ravi's arrest",NFL-National Football League roundup,"Piyush Goyal's remarks on nuns ""shameful"", says Kerala CM Pinarayi Vijayan"
334,IIM Indore signs MoU with the UP Police,Train services on Jalandhar-Amritsar route suspended after accident: Officials,Our pilots handled ILS failure incident professionally: Air India,Grim Reaper: Farmer suicides shake the flood-ravaged district of Idukki,‘Case against arm unlikely to affect IRB operations’,"Republic Day violence: Protesters snatched magazines from constables, robbed anti-riot gears, says FIR","Discover the hidden layers of Oman, where ‘beauty has an address’",Three soldiers killed in attacks on Ivory Coast military camps
335,Indian domestic passenger traffic hits 11.3% growth in November: IATA,"Kannada actors Darshan, Devaraj, and Prajwal injured in road accident near Mysuru",Sarbananda Sonowal orders inquiry into boat capsize incident in Brahmaputra,Will Smith will not be a part of 'Suicide Squad' sequel due to scheduling issues,Court allows ED to question Peter Mukerjea in PMLA case,European Union's top officials express relief as 'friend' replaces Donald Trump,Neuville leads Monte Carlo race marred by spectator fatality,"1 dead, six injured in stabbing attack at Canadian library"
336,FASTag seems to be pulling a fast one,Damages for road accident victims to increase 10-fold,Police make public letter about a 'Rajiv Gandhi-like incident',Did Pulwama suicide bomber hide explosives in stone quarry?,Kopardi rape and murder case: 3 convicts get death sentence,Malegaon blast case: BJP MP Pragya Thakur appears in court,Rallying-Neuville leads Monte Carlo race marred by spectator fatality,"Ahead of Assembly elections, Rahul Gandhi attacks Centre, Kerala's LDF government"
337,Trai seeks views on traffic management under net neutrality,Why you should not claim insurance for minor accidents,Incident with Rahul Gandhi's flight in April was due to mechanical failure: DGCA,Time to strike inside Pakistan: Uddhav Thackeray on Pulwama attack,Vijay Mallya raises Byculla jail murder to stall extradition,Not interested in clause-by-clause discussion on farm laws: Farmers to say at today’s meet,"Tata JLR fined GBP 900,000 after worker loses leg in UK factory",Yemen's Houthis warn of stronger attacks after drone strikes on Saudi Arabia
338,BOT concession period rejig after periodic traffic density review,"Using mobile while driving, worse than drunk-driving.","4 dead, 196 buildings damaged in rain-related incidents in UP",Pulwama attack: Balbir Singh Sidhu cancels Pak visit to lodge protest,"Indrani using media, misleading court: Peter Mukherjea",Malegaon case: Pragya skips court date for 2nd time this month,HIGHLIGHTS-Tennis-Day four at the Australian Open,
339,"Jet Airways' closure, Kannur airport dent Mangaluru air traffic","Many feared dead, as bus plunges into a canal in Bengal's Murshidabad district","'Grave situation', says SC on incidents of vandalism during protests",Rajnath Singh helps carry coffin of slain CRPF jawan,Mahatma murder: SC told Apte's identity mired in doubt,Five suspected terrorists arrested; Khalistani-Kashmir terror link comes to light,HIGHLIGHTS-Tennis-Day four at the Australian Open,"2 CRPF personnel killed, as many injured in militant attack on outskirts of Srinagar"
340,Pricing power eludes airlines as new capacity offsets traffic boost,"Bawana fire: Leaders make beeline, CM Arvind Kejriwal announces ex-gratia",Sterlite incident clouds PCBL's proposed Tamil Nadu unit,"Vande Bharat Express inauguration despite Pulwama attack, befitting reply to terrorists: Piyush Goyal",Ryan schoolboy killing: Accused sent to observation home till November 22,Odisha crime branch to probe Nayagarh minor girl's case: Minister,HIGHLIGHTS-Tennis-Day four at the Australian Open,"China attacks foreign clothing, shoe brands over Xinjiang"
341,Domestic passenger traffic growth may dip to six-year low: Icra,"PM expresses grief at deaths in AP boat accident, quake in Iran-Iraq",Incidents of bed bug bites are isolated ones: Air India,Pulwama terror attack: BJP leaders cancel all political programmes,Killing of RSS leader is eighth murderous attack since 2016,Nearly two thirds of winning candidates in Bihar polls have criminal cases against them: ADR,Two British sprinters seriously injured in Spain,"Kerala assembly polls: Amit Shah attacks CPI(M), Congress"
342,September air traffic grows by just 1.18%,"Govt constitutes committee to investigate causes, lapses in NTPC accident",338 incidents of cross-border firings were reported during Ramzan,US condemns terror attack in Jammu and Kashmir's Pulwama,"Google honours murdered Tejano singer, Selena Quintanilla, with doodle","Ballia firing: FIR lodged against other faction, deceased's name also included",UPDATE 1-Athletics-Two British sprinters seriously injured in Spain,Mayawati attacks Yogi Adityanath government over Hathras gangrape case
343,"Traffic ban on highway through Bandipur reserve causing hardship to people in Kerala, Karnataka: Rahul","Death toll in Unchahar plant accident now 32, says NTPC CMD",Kamal Hassan expresses outrage over Kathua incident,"Digital platform helps Maharashtra save Rs 12,000 crore in farm loan waiver: Devendra Fadnavis","Rajesh, Nupur Talwar likely to walk out of jail by noon",Marriage promises led to 57% rapes in UP,Motor racing-Stirling Moss recovering in hospital in Singapore,"Sensing defeat, Didi making personal attacks, says PM Modi"
344,Road Ministry seeks legal opinion on states lowering traffic fines below ceiling,Railways invites people to provide information on Utkal Express accident in,"Massive outrage over Kathua, Unnao rape incidents",BSF jawan allegedly commits suicide in Jammu and Kashmir,Aarushi case: HC castigates CBI on theory on Hemraj's murder,Nitish Kumar's JD(U) fields 46 candidates - including nine women - with criminal cases,Motor racing - Stirling Moss recovering in hospital in Singapore,Saudi Aramco CEO says contingency plans in place in case of attacks
345,Lok Sabha approves changes in Motor Vehicles Act,44 killed in bus accident in Himachal Pradesh,"Pakistan, India in talks over harassment incidents: Asif",Farmer suicides have increased under Congress: Amit Shah,Watch: The impressive first trailer of the 'Murder on the Orient Express',"Bihar Assembly Elections: Many with criminal history in poll fray, few field wives",Former BJP MLA Sang Singh Bhati injured,CID to probe bomb attack on Bengal minister
346,Mumbai gets first spell of heavy rains; traffic affected,Police suspect Pakistan's spy agency ISI hand in two rail accidents in Uttar Pradesh,Death toll in Shopian firing incident climbs to 5,"10% drop in farm suicides, 11,000 cases in 2016: Govt",BJP can even murder democracy for power: Mayawati,Hathras rape case: Widespread protests over death of UP dalit gangrape victim,Why you need an insurance against accidents and how to buy one,BSP attacks govt over rise in fuel prices
347,"Mumbai's traffic flow worst in world, Delhi at fourth spot: Report",India led in train accidents in 2016,"Meghalaya, Nagaland votes; stray incidents of violence reported",MP sign language experts prevent suicide on video call in Rajasthan,"Security guard at bungalow frequented by Jayalalithaa, found murdered",Delhi riots: Court sends Umar Khalid to judicial custody till Oct 22 in UAPA case,"CSE head Sunita Narain hit by car, undergoes surgery",BJP leader Firoze Kamal Gazi attacked by miscreants
